;model;2015-10;2015-11;2015-12;2016-01;2016-02;2016-03;2016-04;2016-05;2016-06;2016-07;2016-08;2016-09;2016-10;2016-11;2016-12;2017-01;2017-02;2017-03;2017-04;2017-05;2017-06;2017-07;2017-08;2017-09;2017-10;2017-11;2017-12;2018-01;2018-02;2018-03;2018-04;2018-05;2018-06;2018-07;2018-08;2018-09;2018-10;2018-11;2018-12;2019-01;2019-02;2019-03
Country_3 Product_5;PROPHET;1426;1552;1092;1656;800;1756;1316;1278;498;752;1080;1176;2500;2564;1264;1664;2096;1296;1410;1636;2420;1488;2832;1756;1288;1556;736;2428;2944;2308;1672;1208;2040;1172;1572;604;1984.07925;2212.405761;1313.111626;2392.437895;1668.427273;2044.861048
Country_3 Product_6;ENSEM;3075;3026;2379;2984;5301;4528;3788;4528;4577;4086;4015;2632;3360;4101;2207;4920;5016;5408;3015;6050;4401;7461;6283;6280;6167;9199;2657;3059;4130;7006;3741;5184;3752;6497;5831;5964;5493.588331;5703.510763;4645.99063;5069.777215;4919.384933;5969.251123
Country_3 Product_7;ETS;6674;5399;6176;8225;8357;12014;4767;10596;13124;6948;6461;7766;9307;7082;8583;7461;8237;13790;6112;18278;12695;10554;11525;13096;13121;11032;6167;12857;17697;14894;12526;13975;11337;12217;14692;20092;15447.19566;15816.92471;16195.50267;16583.14131;16980.0575;17386.47327
Country_3 Product_8;ETS;25221;16365;9650;15537;18768;22937;17146;18898;18748;15483;20335;17031;19791;17183;11272;14464;18640;23960;20123;20226;13030;18556;18076;14375;13525;22219;11703;14043;21650;16785;10202;15408;14184;10373;13025;12983;14444.20318;14444.20318;14444.20318;14444.20318;14444.20318;14444.20318
Country_4 Product_4;ETS;414138;425572;327367;379925;453492;433437;430627;442325;450098;424192;462594;497735;463440;472988;387313;470807;465728;523962;443892;540107;456172;454027;524780;501463;510911;529417;486005;506139;529840;543580;606357;485703;489527;606185;609054;578462;576345.7602;582255.1868;588225.2041;594256.4336;600349.5027;606505.0456
Country_4 Product_5;ENSEM;30770;41738;38558;35932;42268;46058;42410;33970;38966;37088;38210;34136;36084;45154;47190;51714;59878;65926;42194;50504;44216;33208;41864;48122;37368;46284;28792;44972;43064;44908;30876;28640;37288;41124;43116;33524;37991.66143;37973.79173;38831.43186;37774.69639;38034.80461;37980.60457
Country_4 Product_6;ETS;83919;81822;62088;67266;90953;91376;82201;78000;93451;92349;92880;102943;84615;105344;98515;95142;98054;120044;95389;122063;91333;89100;127261;109924;117276;102641;86257;98194;95503;112902;123681;95071;102903;122339;140227;124738;122131.8111;123598.5756;125082.9554;126585.1619;128105.4094;129643.9143
Country_4 Product_7;ETS;12779;19792;9504;7221;14179;18147;18354;18992;21891;23202;24940;27280;24256;21782;22470;30055;28404;39142;32790;34152;32356;32860;36610;28727;29898;38899;22764;37119;41128;42350;38009;33105;39524;35408;54214;49386;42643.30539;43138.23411;43613.15849;44068.62509;44505.19282;44923.42928
Country_4 Product_8;ETS;213157;209211;172144;184442;223809;201372;202439;161847;180648;200692;215839;200738;167150;216857;190450;185175;214727;227045;175732;238127;189241;231487;277296;217371;184403;197048;163418;195060;234655;244123;209165;187402;180374;178124;201146;143005;198701.4567;198701.4567;198701.4567;198701.4567;198701.4567;198701.4567
Country_5 Product_4;ETS;62156;47658;72185;49062;59659;77197;64542;75220;73925;83381;66631;119813;105541;55768;95144;84817;99524;68544;97725;64589;67711;66220;83757;132587;154372;95324;81462;92724;102285;135364;134168;135027;86966;86686;150236;121389;127500.1417;130258.148;133075.8133;135954.4281;138895.311;141899.8087
Country_5 Product_5;ENSEM;1504;312;230;396;164;444;104;1276;1104;1044;804;3280;3824;756;1572;432;268;696;912;384;948;696;540;1480;636;4108;692;380;1252;2216;2092;1272;2648;1392;1744;284;1010.045461;720.3017331;1152.714143;822.2632482;1098.163885;1416.768879
Country_5 Product_6;ENSEM;2474;3096;3574;5382;461;3342;1853;2415;NA;5664;2293;1813;1956;872;1785;3301;2712;1855;1084;3394;3685;3504;2804;3800;3648;3807;2056;2434;8379;4171;5132;4367;3602;6248;4331;2251;9830.265373;3687.552026;3745.896509;3753.264442;4022.642071;3764.279031
Country_5 Product_7;RWD;473;1205;460;1224;973;1745;869;1487;2785;3685;535;1392;1843;1951;1622;3089;10940;2468;3275;5104;3167;1773;8002;5558;9058;1852;5027;4649;4008;3837;8245;3299;8459;3611;9593;7546;8167.025654;8839.154111;9566.590508;10353.88601;11205.96629;12128.16233
Country_5 Product_8;ETS;75874;79002;55906;38806;41978;44213;72578;123306;68567;119658;85266;104840;84473;70050;104440;68463;94447;128450;96433;59875;62837;58853;61319;104810;135597;67325;34426;46978;90678;77280;75892;93991;46271;34910;142252;53612;72535.72166;72535.72166;72535.72166;72535.72166;72535.72166;72535.72166
Country_6 Product_4;RWD;321893;340755;265940;284812;314394;447804;332530;381624;499557;409430;209775;531374;334703;342472;307439;373634;389814;521219;326098;454359;509564;538765;301763;447008;394986;390811;322106;497770;538958;607152;600221;532730;600178;665974;455945;516112;523120.8414;530224.8633;537425.3581;544723.6361;552121.025;559618.8708
Country_6 Product_5;RWD;8956;11096;6474;12052;13444;10682;11756;11244;15514;9682;5388;15364;10264;9272;8066;10830;12440;15408;11108;16202;15768;16354;5824;11412;14836;12180;8992;13180;12792;15964;15832;17264;16332;16160;9084;17800;18152.76621;18512.52326;18879.40969;19253.56678;19635.13863;20024.27217
Country_6 Product_6;RWD;36542;38812;23619;30330;40889;49013;42961;43378;54455;45549;29549;60280;34687;40851;33609;41135;46389;69875;45137;55241;69143;63786;45608;70116;59133;62794;38349;69620;61467;72615;74813;62702;74010;77803;66706;76862;78512.33418;80198.10288;81920.06691;83679.00342;85475.70626;87310.9863
Country_6 Product_7;NNAR;13567;17595;11334;14660;20457;24491;20758;21832;40773;40514;15239;45636;27909;22470;25169;31609;50222;66902;32178;38185;69039;54944;42390;66471;52074;65011;68414;66535;79999;84582;64642;57284;60275;67758;89016;61276;67471.45079;67500.02339;67503.73624;67501.83192;67510.29179;67511.56191
Country_6 Product_8;ENSEM;217406;227667;163361;225917;225038;335118;189008;215825;295119;249980;119022;321885;179353;176274;131892;180364;197371;274052;139914;194130;246147;225095;143374;190643;150332;153102;101483;202369;204034;236396;166304;162321;165673;152108;79209;156231;140687.332;137176.1746;127116.3596;159369.5707;153295.4363;173024.946
Country_7 Product_4;PROPHET;605134;556716;525370;449815;572062;644777;650439;599569;665814;552295;618379;678410;602833;659802;553228;569184;637661;812431;708859;715539;654009;791018;767075;724801;736794;607000;650012;706464;795782;986964;1031929;873054;964628;1054957;1057497;869654;1075500.535;1006375.558;989271.9067;949474.4601;1163318.969;1454895.078
Country_7 Product_5;NNAR;42936;33100;32082;14754;37872;28416;35418;33204;35584;25156;29872;23512;25284;40364;31250;28054;27204;33056;30060;30912;29296;23310;25220;23754;21424;26700;28268;34480;25688;36940;37024;28240;35068;34724;24576;18680;21830.17805;21493.8775;20971.18049;27711.29314;23322.41084;31244.70249
Country_7 Product_6;ETS;88705;69690;68941;59436;84831;78679;90275;87547;102568;85528;83892;99694;89252;109451;86344;94166;101377;117798;91827;107865;87417;109558;108237;139028;124679;122679;103462;115054;89910;129448;126612;131774;114949;139171;148790;121669;137352.356;139663.4926;142013.5168;144403.0831;146832.8566;149303.5141
Country_7 Product_7;ENSEM;81510;82434;79394;94064;114038;91201;89781;102681;118163;95658;95344;125955;115071;194676;141797;159077;156328;189246;129108;182188;149216;243588;226278;165789;186520;200117;196527;164468;250504;200998;190271;212848;195164;180778;231838;272420;224958.6128;228729.3224;230961.4504;227947.7923;237334.5736;240378.5484
Country_7 Product_8;NNAR;725907;683141;637902;487961;600229;676548;763450;774930;667164;706520;669883;839248;701999;677416;532600;490168;573786;730438;607562;596305;601549;642720;832020;749700;627832;993217;645252;533156;537869;923925;542653;869151;468273;719647;745225;665499;495092.8336;860541.1442;446951.13;784292.8405;465595.0128;747352.9224
Country_8 Product_4;RWD;94142;108177;71694;77862;113756;77614;91826;100385;108215;103971;67756;108576;113168;107722;83532;87173;95716;120741;103767;129766;122432;135355;106371;90969;98340;120625;83130;124679;115395;125796;163626;126888;172435;209257;171628;145381;147197.2726;149036.2361;150898.174;152783.3732;154692.1244;156624.7219
Country_8 Product_5;ENSEM;4464;2908;3812;2352;3784;2744;2596;10940;7772;5664;4012;5380;4900;7318;3780;3728;3144;5932;5344;9816;7768;6888;3332;3056;3368;8824;3692;7892;4504;8436;8764;8352;8348;5388;3460;2632;5144.223323;7112.56061;5606.365971;6287.575558;5815.014093;6325.8446
Country_8 Product_6;ENSEM;9816;11438;9236;9335;16160;8433;11312;11979;16630;12367;9166;10990;13806;15224;11019;12276;12573;13597;15643;16782;18716;16560;14001;13288;15134;21530;11536;14972;12562;18193;19880;22584;22986;23014;29383;16868;24038.38115;21001.64098;23988.0828;21505.06604;24969.87645;22305.79855
Country_8 Product_7;ENSEM;6328;10080;7366;4741;6238;6044;5467;6930;10225;6908;8812;9121;8780;9654;10862;9817;9681;14518;14372;13223;15971;19274;10514;12293;14154;18893;17212;16581;11976;19364;15744;13482;10331;14213;25221;22628;19631.26386;18966.38611;18805.5368;18887.30758;20572.81244;20100.23655
Country_8 Product_8;ETS;36433;39324;36765;20311;36658;34525;33685;37218;38389;35084;29974;32302;45052;32608;36240;22075;31588;34439;26856;41836;35224;48807;21996;19259;31887;26518;14762;27758;23934;35947;45920;35069;42855;24332;25819;33214;31618.0326;31618.0326;31618.0326;31618.0326;31618.0326;31618.0326
Country_9 Product_4;ENSEM;11017;44827;24556;40968;43195;29528;32149;25825;23296;41267;17303;19868;96124;20056;89566;35232;103088;32845;42626;65211;9286;57166;91524;84566;42702;53976;53526;59918;55549;26746;34916;40551;94630;240396;127381;38248;66532.0205;68096.6097;69116.94374;70370.01821;71406.66969;55103.85344
Country_9 Product_5;ETS;384;268;328;2012;744;2068;1652;NA;0;240;48;184;728;176;176;0;16;120;336;816;768;160;152;152;960;256;616;0;0;0;640;28;16;0;520;0;18.65565983;18.65565983;18.65565983;18.65565983;18.65565983;18.65565983
Country_9 Product_6;ENSEM;798;713;1375;340;109;1634;0;194;1078;351;2192;7429;2308;1507;321;848;1240;178;502;1147;819;326;754;2222;1338;320;1218;1232;1986;814;1038;364;389;1186;1045;1690;968.3282276;922.4934136;897.1938675;876.7236925;953.0054433;1037.950273
Country_9 Product_7;ENSEM;1108;1602;880;411;2316;1066;432;806;1940;1112;4450;904;2524;2951;608;2024;2729;1612;3634;5494;2687;6001;8752;9737;9224;21665;9883;24483;5979;15053;19579;39290;27813;17598;35314;26060;33080.36945;34042.80641;34977.30777;36201.97416;36892.42123;38322.96629
Country_9 Product_8;ETS;74950;111711;84674;69848;84297;36677;120281;40691;59472;63533;104759;50667;103832;94989;57491;51819;25990;85806;127671;42750;25718;62759;45001;83699;82145;93617;101854;51441;95164;127201;69335;35897;33002;26948;63863;33007;63386.58487;63386.58487;63386.58487;63386.58487;63386.58487;63386.58487
